# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	SampleName	RedIDATFilename	GreenIDATFilename	SampleType	RedUUID	GreenUUID
11LU013	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/11LU013.T.CPT0053040010.csv.gz	103270468	csv	b4ca43b0383aea96c2d9c9be04d94da5	11LU013.T	202176300111_R06C01_Red.idat	202176300111_R06C01_Grn.idat	tumor	ece74f1e-055e-4fe0-8f5c-f971f331a103	2ddd5fb8-54c2-4423-8e3c-51aa0fab87fe
11LU016	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/11LU016.T.CPT0052940010.csv.gz	103269707	csv	fa6b5f0be9331c944ff4ba81dbff6078	11LU016.T	202176300039_R03C01_Red.idat	202176300039_R03C01_Grn.idat	tumor	d0c30a2b-fbfc-4f50-9aa2-bece1983c561	ed984227-cba5-4d23-b3ae-5117d76c2c1c
11LU022	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/11LU022.T.CPT0052170010.csv.gz	103262295	csv	3ef6d29d85dba03d04a0a25c719339d3	11LU022.T	202163530120_R05C01_Red.idat	202163530120_R05C01_Grn.idat	tumor	290b9ac4-6b40-485d-abe5-0f4eb430d139	a3695058-a2da-4484-9514-615d62043da9
11LU035	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/11LU035.T.CPT0051690010.csv.gz	103268181	csv	503c26842b5340374ec4696006f29911	11LU035.T	202178770083_R04C01_Red.idat	202178770083_R04C01_Grn.idat	tumor	6b3c3944-68ae-40fd-b2ba-fdd81987c209	25cc7309-ee8a-48d8-8fbb-70cd964f6a1d
C3L-00001	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00001.A.CPT0001590008.csv.gz	102728193	csv	d060a1ca706d3925e404a33147640e17	C3L-00001.A	203027390118_R03C01_Red.idat	203027390118_R03C01_Grn.idat	tissue_normal	b5971ca7-ad14-4c3a-9b33-eee83bd40ae3	df1ce98e-8ee2-4c56-beb4-0129824b2033
C3L-00001	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00001.T.CPT0001580165.csv.gz	103286150	csv	224e0b4b036f8674f3d0e94f5ac4946a	C3L-00001.T	201557560005_R01C01_Red.idat	201557560005_R01C01_Grn.idat	tumor	68f5b973-91b0-4262-8c51-b89917e3a6cd	c41ca2cf-b388-443c-9ca6-b51e9db97b45
C3L-00004	CCRCC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00004.T.CPT0001540165.csv.gz	103263573	csv	7846b1aa99e53ea02565a782ceccc693	C3L-00004.T	201557560049_R07C01_Red.idat	201557560049_R07C01_Grn.idat	tumor	6a0992ca-3d2a-4d1a-9368-74b56cfefbda	fbbafc2d-6792-4fae-bc55-819a05c6ad2a
C3L-00006	UCEC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00006.T.CPT0001460007.csv.gz	103284486	csv	ee4b28242a19fd2a90205d839c143945	C3L-00006.T	201557540007_R08C01_Red.idat	201557540007_R08C01_Grn.idat	tumor	31d10d0d-1dcc-4897-a879-b4510b5ebd38	1d7cb5a9-7648-437c-9b6c-12dfca48ca12
C3L-00008	UCEC	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00008.T.CPT0001300005.csv.gz	103277387	csv	acaf56f9f75dc12045c626ae4cb02b7b	C3L-00008.T	201557560049_R02C01_Red.idat	201557560049_R02C01_Grn.idat	tumor	b37d8198-f27a-4562-a968-74df268a53c8	3b08c3db-8efb-4abe-a709-ab3195b5977f
C3L-00009	LUAD	Methylation_Array	v1.1	20200109	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_Methylation_Array_v1.1_Methylation-Y1Y2_20200109/C3L-00009.A.CPT0001390009.csv.gz	103058749	csv	f3c362fe4cc7322b828f00615f98084f	C3L-00009.A	203027390073_R08C01_Red.idat	203027390073_R08C01_Grn.idat	tissue_normal	284f40cf-9af0-4089-ac56-984d35595355	997008dc-c32f-4744-b4f9-ae686e57d0ad
