# case	disease	pipeline_name	pipeline_version	timestamp	C3Y	DCC_path	filesize	file_format	md5sum	sample_name	sample_uuid
11LU013	LUAD	RNA-Seq_Expression	v1.0	20191024	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Expression_v1.0_Y1Y2_20191024/11LU013.RNA-Seq.T.hg38.tsv.gz	1031632	TSV	4bf8acc8850828b2021c5420f580006a	11LU013.RNA-Seq.T.hg38	ea59f382-26e3-4548-9e50-757fdfaf8ecd
11LU016	LUAD	RNA-Seq_Expression	v1.0	20191024	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Expression_v1.0_Y1Y2_20191024/11LU016.RNA-Seq.T.hg38.tsv.gz	1010025	TSV	696eb9731804e7a52d90aa81a61b6034	11LU016.RNA-Seq.T.hg38	618a81e9-eba7-4e43-9159-1a1182b0176a
11LU022	LUAD	RNA-Seq_Expression	v1.0	20191024	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Expression_v1.0_Y1Y2_20191024/11LU022.RNA-Seq.T.hg38.tsv.gz	1023958	TSV	aa85d490cd01c403d9015e3704a4d0be	11LU022.RNA-Seq.T.hg38	17ec639c-a9ad-4763-8333-3a097edb83db
11LU035	LUAD	RNA-Seq_Expression	v1.0	20191024	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Expression_v1.0_Y1Y2_20191024/11LU035.RNA-Seq.T.hg38.tsv.gz	982705	TSV	eef9c06f09303832f03c046cfded07c4	11LU035.RNA-Seq.T.hg38	8a3cb190-e305-462b-a0dc-e4d7a9b8ec8a
C3L-00001	LUAD	RNA-Seq_Expression	v1.0	20191024	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Expression_v1.0_Y1Y2_20191024/C3L-00001.RNA-Seq.A.hg38.tsv.gz	1010340	TSV	1fa4bfe45f78433208d25ac649335469	C3L-00001.RNA-Seq.A.hg38	aba2207d-40e6-42e4-bf44-31a245c286f3
C3L-00001	LUAD	RNA-Seq_Expression	v1.0	20191024	Y3	/CPTAC3.Y2_WashU/LUAD/CPTAC3_LUAD_RNA-Seq_Expression_v1.0_Y1Y2_20191024/C3L-00001.RNA-Seq.T.hg38.tsv.gz	978591	TSV	dbffe88ad225015946df61ab25a34913	C3L-00001.RNA-Seq.T.hg38	edbe96b5-464a-4d4d-8089-0f38840f1424
C3L-00004	CCRCC	RNA-Seq_Expression	v1.0	20191024	Y3	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Expression_v1.0_Y1Y2_20191024/C3L-00004.RNA-Seq.A.hg38.tsv.gz	1013094	TSV	9b40eb9a9baeca846af1b4493d15c7b4	C3L-00004.RNA-Seq.A.hg38	a54044c7-7962-436e-940a-f0f4017fad39
C3L-00004	CCRCC	RNA-Seq_Expression	v1.0	20191024	Y3	/CPTAC3.Y2_WashU/CCRCC/CPTAC3_CCRCC_RNA-Seq_Expression_v1.0_Y1Y2_20191024/C3L-00004.RNA-Seq.T.hg38.tsv.gz	988031	TSV	e375d29d428c71726461d1ad423840fd	C3L-00004.RNA-Seq.T.hg38	b9ecc9b3-2e38-46c4-bf55-db538a2b87c4
C3L-00006	UCEC	RNA-Seq_Expression	v1.0	20191024	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Expression_v1.0_Y1Y2_20191024/C3L-00006.RNA-Seq.prov.CPT0001460164.tsv.gz	944274	TSV	86cb9da62453d16e279d6faef86acbfc	C3L-00006.RNA-Seq.genomic.T.hg38	b2a68c55-bfd9-4073-8ad5-5d542e239e11
C3L-00006	UCEC	RNA-Seq_Expression	v1.0	20191024	Y3	/CPTAC3.Y2_WashU/UCEC/CPTAC3_UCEC_RNA-Seq_Expression_v1.0_Y1Y2_20191024/C3L-00006.RNA-Seq.prov.CPT0001470006.tsv.gz	985411	TSV	1bdfc470e82a6d7a9e4ac90eace1665c	C3L-00006.RNA-Seq.genomic.A.hg38	1cbdaecc-8286-4916-9bf4-ed1887354166
